,treatment,block,Year,species,group,percentcover
1,Ambient,A,1,Brachypodium_sylvaticum,Grass,8
2,Ambient,A,1,Carex_flacca,Grass,0.1
3,Ambient,A,1,Cirsium_eriophorum,Forbs,6
4,Ambient,A,1,Clinopodium_vulgare,Forbs,21
5,Ambient,A,1,Dactylis_glomerata,Grass,6
6,Ambient,A,1,Festuca_rubra,Grass,3
7,Ambient,A,1,Galium_verum,Forbs,2
8,Ambient,A,1,Geranium_dissectum,Forbs,6
9,Ambient,A,1,Glechoma_hederacea,Forbs,0.1
10,Ambient,A,1,Holcus_lanatus,Grass,7
11,Ambient,A,1,Hypericum_perforatum,Forbs,3
12,Ambient,A,1,Medicago_lupulina,Legumes,2
13,Ambient,A,1,Pastinaca_sativa,Forbs,11
14,Ambient,A,1,Taraxacum_sect_vulgaria,Forbs,0.1
15,Ambient,A,1,Trifolium_repens,Legumes,16
16,Ambient,A,1,Trisetum_flavescens,Grass,31
17,Ambient,A,1,Veronica_chamaedrys,Forbs,19
18,Ambient,A,1,Vicia_sativa,Legumes,10
19,Ambient,A,2,Agrimonia_eupatoria,Forbs,1
20,Ambient,A,2,Anacamptis_pyramidalis,Forbs,1
21,Ambient,A,2,Arrhenatherum_elatius,Grass,10
22,Ambient,A,2,Brachypodium_sylvaticum,Grass,4
23,Ambient,A,2,Bromus_sterilis,Grass,1
24,Ambient,A,2,Clinopodium_vulgare,Forbs,8
25,Ambient,A,2,Crataegus_monogyna,Woody,3
26,Ambient,A,2,Dactylis_glomerata,Grass,2
27,Ambient,A,2,Festuca_rubra,Grass,5
28,Ambient,A,2,Galium_verum,Forbs,6
29,Ambient,A,2,Geranium_dissectum,Forbs,3
30,Ambient,A,2,Glechoma_hederacea,Forbs,7
31,Ambient,A,2,Holcus_lanatus,Grass,3
32,Ambient,A,2,Hypericum_perforatum,Forbs,2
33,Ambient,A,2,Linum_catharticum,Forbs,1
34,Ambient,A,2,Lotus_corniculatus,Legumes,3
35,Ambient,A,2,Medicago_lupulina,Legumes,2
36,Ambient,A,2,Myosotis_arvensis,Forbs,1
37,Ambient,A,2,Pastinaca_sativa,Forbs,2
38,Ambient,A,2,Potentilla_reptans,Forbs,8
39,Ambient,A,2,Ranunculus_acris,Forbs,1
40,Ambient,A,2,Sanguisorba_minor,Forbs,4
41,Ambient,A,2,Trifolium_repens,Legumes,5
42,Ambient,A,2,Trisetum_flavescens,Grass,8
